data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3_wobn,kaiming_in,0.84,1,55.95200042724609,56.70000076293945,55.2400016784668,0.5859775335287605
cifar10,conv3_wobn,kaiming_in,0.86,0,55.29399948120117,57.40999984741211,54.2599983215332,1.239084520919902
cifar10,conv3_wobn,kaiming_in,0.86,1,54.34199981689453,54.7599983215332,53.75,0.37758401767021055
cifar10,conv3_wobn,kaiming_in,0.88,0,52.30200042724609,52.86000061035156,51.970001220703125,0.3489552688590105
cifar10,conv3_wobn,kaiming_in,0.88,1,52.42999954223633,53.84999847412109,51.150001525878906,1.0349143452617648
cifar10,conv3_wobn,kaiming_in,0.9,0,51.039999389648436,51.619998931884766,50.209999084472656,0.6161577130097061
cifar10,conv3_wobn,kaiming_in,0.9,1,50.39200057983398,51.43000030517578,48.970001220703125,1.0385176208798124
cifar10,conv3_wobn,kaiming_in,0.92,0,47.63199920654297,48.5099983215332,46.29999923706055,0.9971298726560064
cifar10,conv3_wobn,kaiming_in,0.92,1,47.22400054931641,48.040000915527344,46.11000061035156,0.7977035212074369
cifar10,conv3_wobn,kaiming_in,0.94,0,43.880000305175784,44.380001068115234,43.22999954223633,0.48098944251626374
cifar10,conv3_wobn,kaiming_in,0.94,1,43.991999816894534,45.13999938964844,42.150001525878906,1.1358338089125555
cifar10,conv3_wobn,kaiming_in,0.96,0,36.76199913024902,38.77999877929688,31.100000381469727,3.221384134823965
cifar10,conv3_wobn,kaiming_in,0.96,1,39.06399993896484,40.56999969482422,38.18999862670898,0.911471679851175
cifar10,conv3_wobn,kaiming_in,0.98,0,17.334000015258788,24.32999992370605,10.0,6.893767532694328
cifar10,conv3_wobn,kaiming_in,0.98,1,20.09000015258789,24.61000061035156,10.0,6.003211714349136
cifar10,conv3_wobn,kaiming_out,0.8,0,52.80199966430664,54.959999084472656,51.02999877929688,1.5353074364471024
cifar10,conv3_wobn,kaiming_out,0.8,1,58.7120002746582,59.52000045776367,57.90999984741211,0.5705876433898917
cifar10,conv3_wobn,kaiming_out,0.82,0,52.91199951171875,53.84999847412109,51.88999938964844,0.8432498606314399
cifar10,conv3_wobn,kaiming_out,0.82,1,57.41800079345703,57.7400016784668,57.02000045776367,0.3010316766450347
cifar10,conv3_wobn,kaiming_out,0.84,0,43.50199966430664,52.619998931884766,10.0,18.75006561708494
cifar10,conv3_wobn,kaiming_out,0.84,1,56.14800033569336,57.81999969482422,54.93000030517578,1.1734859352653957
cifar10,conv3_wobn,kaiming_out,0.86,0,48.83400039672851,50.72999954223633,46.65999984741211,1.4611569370630033
cifar10,conv3_wobn,kaiming_out,0.86,1,54.44599914550781,54.95000076293945,53.68999862670898,0.5477504874182861
cifar10,conv3_wobn,kaiming_out,0.88,0,38.90400009155273,48.59000015258789,10.0,16.235317434959466
cifar10,conv3_wobn,kaiming_out,0.88,1,52.49400024414062,53.22999954223633,51.720001220703125,0.5543728217237442
cifar10,conv3_wobn,kaiming_out,0.9,0,38.95799942016602,46.91999816894531,10.0,16.216504224831812
cifar10,conv3_wobn,kaiming_out,0.9,1,50.279999542236325,50.84999847412109,49.77000045776367,0.4601075237516148
cifar10,conv3_wobn,kaiming_out,0.92,0,35.27600021362305,44.959999084472656,10.0,14.267663834428813
cifar10,conv3_wobn,kaiming_out,0.92,1,47.49400100708008,48.650001525878906,46.08000183105469,1.0742114969220002
cifar10,conv3_wobn,kaiming_out,0.94,0,38.194000244140625,41.63999938964844,35.22999954223633,2.3273761404745863
cifar10,conv3_wobn,kaiming_out,0.94,1,44.26199951171875,46.29999923706055,42.540000915527344,1.6966787784098805
cifar10,conv3_wobn,kaiming_out,0.96,0,14.147999954223632,30.739999771118164,10.0,9.27520986831006
cifar10,conv3_wobn,kaiming_out,0.96,1,37.970000457763675,39.560001373291016,35.75,1.7930838417498594
cifar10,conv3_wobn,kaiming_out,0.98,0,13.091999816894532,25.459999084472656,10.0,6.9139217769930745
cifar10,conv3_wobn,kaiming_out,0.98,1,25.155999755859376,26.739999771118164,21.38999938964844,2.1439638027687327
cifar10,conv3_wobn,xavier,0.8,0,58.94800033569336,60.72999954223633,57.869998931884766,1.1863051720547182
cifar10,conv3_wobn,xavier,0.8,1,58.87800064086914,59.58000183105469,57.9900016784668,0.7425765415396647
cifar10,conv3_wobn,xavier,0.82,0,57.95199966430664,59.38999938964844,56.650001525878906,1.0121358117965842
cifar10,conv3_wobn,xavier,0.82,1,57.53199996948242,58.81999969482422,56.970001220703125,0.7435183404282518
cifar10,conv3_wobn,xavier,0.84,0,56.16600036621094,56.720001220703125,55.70000076293945,0.49374067343162037
cifar10,conv3_wobn,xavier,0.84,1,56.35800018310547,57.02000045776367,55.83000183105469,0.4772523348390375
