data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,conv3,xavier,0.00,3,3,76.62999725341797
cifar10,conv3,kaiming_out,0.00,2,4,64.43000030517578
cifar10,conv3,kaiming_in,0.00,1,4,68.6500015258789
cifar10,conv3,xavier,0.00,1,5,71.58999633789062
cifar10,conv3,xavier,0.00,1,4,70.69000244140625
cifar10,conv3,xavier,0.00,1,1,63.209999084472656
cifar10,conv3,xavier,0.00,0,2,73.19000244140625
cifar10,conv3,kaiming_out,0.00,3,2,76.33999633789062
cifar10,conv3,kaiming_in,0.00,1,5,70.13999938964844
cifar10,conv3,xavier,0.00,2,4,76.16000366210938
cifar10,conv3,xavier,0.00,0,5,68.75
cifar10,conv3,kaiming_out,0.00,1,3,65.55000305175781
cifar10,conv3,xavier,0.00,2,3,76.68000030517578
cifar10,conv3,xavier,0.00,2,1,76.2699966430664
cifar10,conv3,kaiming_in,0.00,0,5,71.16000366210938
cifar10,conv3,xavier,0.00,2,5,76.04000091552734
cifar10,conv3,kaiming_in,0.00,3,3,76.62000274658203
cifar10,conv3,kaiming_out,0.00,0,4,67.95999908447266
cifar10,conv3,kaiming_in,0.00,3,2,76.4800033569336
cifar10,conv3,kaiming_in,0.00,1,3,69.95999908447266
cifar10,conv3,kaiming_out,0.00,2,5,64.2300033569336
cifar10,conv3,kaiming_out,0.00,3,1,76.30000305175781
cifar10,conv3,kaiming_out,0.00,2,1,69.20999908447266
cifar10,conv3,kaiming_in,0.00,2,2,76.33000183105469
cifar10,conv3,kaiming_out,0.00,2,2,66.83999633789062
cifar10,conv3,kaiming_in,0.00,3,1,76.2699966430664
cifar10,conv3,kaiming_out,0.00,3,4,76.61000061035156
cifar10,conv3,kaiming_in,0.00,2,4,76.08000183105469
cifar10,conv3,kaiming_out,0.00,0,1,66.63999938964844
cifar10,conv3,kaiming_out,0.00,0,2,68.05000305175781
cifar10,conv3,kaiming_in,0.00,3,4,75.4000015258789
cifar10,conv3,kaiming_in,0.00,3,5,76.44000244140625
cifar10,conv3,kaiming_out,0.00,1,4,70.20999908447266
cifar10,conv3,kaiming_in,0.00,2,1,76.23999786376953
cifar10,conv3,kaiming_in,0.00,1,1,70.0999984741211
cifar10,conv3,xavier,0.00,0,1,71.91000366210938
cifar10,conv3,xavier,0.00,3,2,76.33000183105469
cifar10,conv3,kaiming_in,0.00,0,2,68.37000274658203
cifar10,conv3,kaiming_in,0.00,2,5,75.62999725341797
cifar10,conv3,xavier,0.00,1,3,73.19999694824219
cifar10,conv3,xavier,0.00,3,1,76.62999725341797
