data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3_wobn,kaiming_in,0.94,1,44.09199981689453,45.08000183105469,42.47999954223633,1.071247451263501
cifar10,conv3_wobn,kaiming_in,0.96,0,38.7,39.84000015258789,37.959999084472656,0.7322913946285073
cifar10,conv3_wobn,kaiming_in,0.96,1,38.49600067138672,39.56999969482422,37.09000015258789,0.9422206298270106
cifar10,conv3_wobn,kaiming_in,0.98,0,18.33200035095215,28.690000534057617,10.0,8.351190028043373
cifar10,conv3_wobn,kaiming_in,0.98,1,22.989999771118164,25.11000061035156,20.809999465942383,1.5779579750432065
cifar10,conv3_wobn,xavier,0.8,0,52.252000427246095,52.97999954223633,51.060001373291016,0.7716988752442117
cifar10,conv3_wobn,xavier,0.8,1,52.05999984741211,53.02000045776367,50.869998931884766,0.937096931582384
cifar10,conv3_wobn,xavier,0.82,0,51.262000274658206,51.77999877929688,50.66999816894531,0.43297847640012427
cifar10,conv3_wobn,xavier,0.82,1,51.71399917602539,52.63999938964844,50.79999923706055,0.6599849406750752
cifar10,conv3_wobn,xavier,0.84,0,50.2120002746582,51.2599983215332,49.36000061035156,0.7869679422803166
cifar10,conv3_wobn,xavier,0.84,1,56.21999969482422,57.34999847412109,55.060001373291016,0.933888797683741
cifar10,conv3_wobn,xavier,0.86,0,53.88400039672852,54.5099983215332,52.81999969482422,0.7233119467240359
cifar10,conv3_wobn,xavier,0.86,1,55.19599990844726,56.02999877929688,54.0,0.7898916978611428
cifar10,conv3_wobn,xavier,0.88,0,53.36599960327148,54.88999938964844,52.290000915527344,1.143515761573751
cifar10,conv3_wobn,xavier,0.88,1,52.01600036621094,52.72999954223633,51.630001068115234,0.4813826138188458
cifar10,conv3_wobn,xavier,0.9,0,49.485999298095706,50.79999923706055,48.2400016784668,0.9659082166624176
cifar10,conv3_wobn,xavier,0.9,1,50.395999908447266,51.2599983215332,48.880001068115234,0.9690607814885868
cifar10,conv3_wobn,xavier,0.92,0,47.75,48.880001068115234,45.45000076293945,1.355082861418806
cifar10,conv3_wobn,xavier,0.92,1,47.444000244140625,48.27000045776367,46.709999084472656,0.6931309952888917
cifar10,conv3_wobn,xavier,0.94,0,43.20199890136719,44.209999084472656,42.54999923706055,0.6699776299002183
cifar10,conv3_wobn,xavier,0.94,1,44.54800033569336,45.31999969482422,43.58000183105469,0.6739946865034903
cifar10,conv3_wobn,xavier,0.96,0,37.69000015258789,39.06999969482422,34.810001373291016,1.7311406495304498
cifar10,conv3_wobn,xavier,0.96,1,37.08000030517578,38.900001525878906,35.20000076293945,1.4734822360844653
cifar10,conv3_wobn,xavier,0.98,0,13.745999908447265,22.559999465942383,10.0,5.604906577176502
cifar10,conv3_wobn,xavier,0.98,1,19.165999984741212,22.670000076293945,10.0,5.19829109167068
cifar10,fc3,kaiming_in,0.8,0,62.09199981689453,62.25,61.95000076293945,0.13423908006533394
cifar10,fc3,kaiming_in,0.8,1,61.90999984741211,62.18999862670898,61.59000015258789,0.23885049672506056
cifar10,fc3,kaiming_in,0.82,0,61.63800048828125,61.7599983215332,61.56999969482422,0.08671692707715488
cifar10,fc3,kaiming_in,0.82,1,61.68799896240235,61.93999862670898,61.41999816894531,0.1963925209341534
cifar10,fc3,kaiming_in,0.84,0,61.283999633789065,61.52999877929688,60.81999969482422,0.2716244838569805
cifar10,fc3,kaiming_in,0.84,1,61.37799911499023,61.54999923706055,60.93999862670898,0.25312055359012403
cifar10,fc3,kaiming_in,0.86,0,61.13200073242187,61.36000061035156,60.900001525878906,0.17340696785963583
cifar10,fc3,kaiming_in,0.86,1,60.9359992980957,61.13999938964844,60.709999084472656,0.16288062113414312
cifar10,fc3,kaiming_in,0.88,0,60.33600006103516,60.459999084472656,60.11000061035156,0.14258309441493425
cifar10,fc3,kaiming_in,0.88,1,60.455999755859374,60.90999984741211,60.02000045776367,0.37407178355257753
cifar10,fc3,kaiming_in,0.9,0,59.934000396728514,60.369998931884766,59.58000183105469,0.3458745728217458
cifar10,fc3,kaiming_in,0.9,1,59.58199920654297,59.869998931884766,59.41999816894531,0.1833577243678041
cifar10,fc3,kaiming_in,0.92,0,59.150000762939456,59.7400016784668,58.560001373291016,0.43669230077853016
cifar10,fc3,kaiming_in,0.92,1,59.05999984741211,59.2400016784668,58.93999862670898,0.10977361445865744
cifar10,fc3,kaiming_in,0.94,0,58.182000732421876,58.400001525878906,57.77999877929688,0.23541559781382115
