data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,kaiming_in,0.92,0,1,56.849998474121094
cifar10,fc3_wobn,kaiming_in,0.98,1,3,50.88999938964844
cifar10,fc3_wobn,kaiming_in,0.88,1,5,58.63999938964844
cifar10,fc3_wobn,xavier,0.86,1,1,57.779998779296875
cifar10,fc3_wobn,kaiming_in,0.82,1,5,58.04999923706055
cifar10,fc3_wobn,xavier,0.88,1,5,58.0
cifar10,fc3_wobn,kaiming_in,0.80,1,1,58.20000076293945
cifar10,fc3_wobn,xavier,0.86,1,4,58.279998779296875
cifar10,fc3_wobn,kaiming_out,0.88,1,1,58.209999084472656
cifar10,fc3_wobn,kaiming_in,0.94,1,2,56.2599983215332
cifar10,fc3_wobn,kaiming_in,0.96,1,5,55.16999816894531
cifar10,fc3_wobn,kaiming_in,0.92,1,1,56.88999938964844
cifar10,fc3_wobn,xavier,0.84,1,4,57.970001220703125
cifar10,fc3_wobn,kaiming_out,0.96,1,2,54.310001373291016
cifar10,fc3_wobn,kaiming_out,0.82,0,2,57.79999923706055
cifar10,fc3_wobn,kaiming_in,0.88,1,4,57.939998626708984
cifar10,fc3_wobn,kaiming_in,0.88,0,4,57.79999923706055
cifar10,fc3_wobn,kaiming_out,0.94,1,4,56.91999816894531
cifar10,fc3_wobn,xavier,0.86,0,4,58.52000045776367
cifar10,fc3_wobn,kaiming_in,0.80,1,5,57.869998931884766
cifar10,fc3_wobn,xavier,0.94,1,2,56.279998779296875
cifar10,fc3_wobn,kaiming_out,0.80,1,5,58.43000030517578
cifar10,fc3_wobn,kaiming_in,0.88,0,3,58.02000045776367
cifar10,fc3_wobn,kaiming_out,0.88,1,3,57.88999938964844
cifar10,fc3_wobn,kaiming_out,0.84,0,4,58.130001068115234
cifar10,fc3_wobn,kaiming_out,0.80,0,1,57.61000061035156
cifar10,fc3_wobn,kaiming_out,0.98,0,4,50.220001220703125
cifar10,fc3_wobn,xavier,0.80,1,1,58.0099983215332
cifar10,fc3_wobn,xavier,0.86,1,5,58.41999816894531
cifar10,fc3_wobn,kaiming_out,0.90,0,2,57.599998474121094
cifar10,fc3_wobn,kaiming_out,0.84,1,3,58.31999969482422
cifar10,fc3_wobn,xavier,0.90,0,4,57.77000045776367
cifar10,fc3_wobn,kaiming_in,0.96,0,3,54.88999938964844
cifar10,fc3_wobn,kaiming_out,0.80,0,3,57.630001068115234
cifar10,fc3_wobn,kaiming_in,0.86,1,1,58.099998474121094
cifar10,fc3_wobn,xavier,0.82,0,4,58.150001525878906
cifar10,fc3_wobn,kaiming_in,0.80,0,4,57.619998931884766
cifar10,fc3_wobn,xavier,0.92,0,4,57.189998626708984
cifar10,fc3_wobn,xavier,0.88,0,2,58.08000183105469
cifar10,fc3_wobn,xavier,0.84,1,2,58.61000061035156
cifar10,fc3_wobn,xavier,0.80,1,4,57.939998626708984
cifar10,fc3_wobn,kaiming_out,0.98,0,2,49.83000183105469
cifar10,fc3_wobn,kaiming_out,0.92,0,3,57.02000045776367
cifar10,fc3_wobn,xavier,0.86,0,3,58.11000061035156
cifar10,fc3_wobn,kaiming_in,0.82,0,2,58.58000183105469
cifar10,fc3_wobn,xavier,0.98,1,5,50.56999969482422
cifar10,fc3_wobn,xavier,0.84,0,1,58.34000015258789
cifar10,fc3_wobn,kaiming_out,0.86,1,3,57.72999954223633
cifar10,fc3_wobn,kaiming_out,0.98,1,1,50.060001373291016
cifar10,fc3_wobn,xavier,0.96,1,3,54.83000183105469
cifar10,fc3_wobn,kaiming_in,0.84,0,5,58.689998626708984
cifar10,fc3_wobn,kaiming_in,0.90,0,2,58.04999923706055
cifar10,fc3_wobn,kaiming_in,0.92,1,3,58.060001373291016
cifar10,fc3_wobn,kaiming_out,0.90,0,1,57.279998779296875
cifar10,fc3_wobn,kaiming_out,0.90,0,3,57.630001068115234
cifar10,fc3_wobn,xavier,0.98,0,3,49.970001220703125
cifar10,fc3_wobn,kaiming_out,0.94,0,2,56.75
cifar10,fc3_wobn,kaiming_in,0.96,1,2,54.77000045776367
cifar10,fc3_wobn,kaiming_out,0.88,0,1,57.22999954223633
cifar10,fc3_wobn,kaiming_in,0.96,0,2,55.119998931884766
cifar10,fc3_wobn,kaiming_in,0.90,1,3,57.58000183105469
cifar10,fc3_wobn,kaiming_out,0.84,1,4,58.2599983215332
cifar10,fc3_wobn,kaiming_out,0.94,0,4,56.83000183105469
cifar10,fc3_wobn,xavier,0.84,1,3,58.279998779296875
cifar10,fc3_wobn,kaiming_out,0.88,1,5,58.16999816894531
cifar10,fc3_wobn,xavier,0.96,0,1,55.959999084472656
cifar10,fc3_wobn,kaiming_in,0.88,0,1,58.040000915527344
cifar10,fc3_wobn,kaiming_out,0.82,0,5,57.11000061035156
cifar10,fc3_wobn,kaiming_in,0.80,0,5,57.91999816894531
cifar10,fc3_wobn,kaiming_out,0.92,0,1,56.709999084472656
cifar10,fc3_wobn,kaiming_in,0.90,1,1,57.90999984741211
cifar10,fc3_wobn,xavier,0.98,0,5,50.400001525878906
cifar10,fc3_wobn,kaiming_in,0.80,1,4,58.16999816894531
cifar10,fc3_wobn,xavier,0.98,1,1,50.22999954223633
cifar10,fc3_wobn,kaiming_out,0.90,0,5,57.59000015258789
cifar10,fc3_wobn,kaiming_out,0.94,1,3,56.130001068115234
cifar10,fc3_wobn,kaiming_out,0.88,0,2,57.849998474121094
cifar10,fc3_wobn,kaiming_out,0.92,1,5,57.099998474121094
cifar10,fc3_wobn,kaiming_out,0.98,0,5,50.709999084472656
cifar10,fc3_wobn,xavier,0.94,0,5,57.209999084472656
cifar10,fc3_wobn,kaiming_out,0.98,1,2,50.27000045776367
cifar10,fc3_wobn,kaiming_out,0.86,1,1,58.209999084472656
cifar10,fc3_wobn,xavier,0.96,0,5,55.29999923706055
cifar10,fc3_wobn,xavier,0.98,0,4,49.790000915527344
cifar10,fc3_wobn,xavier,0.84,0,2,57.779998779296875
cifar10,fc3_wobn,kaiming_in,0.82,1,1,59.060001373291016
cifar10,fc3_wobn,kaiming_in,0.94,0,5,56.72999954223633
cifar10,fc3_wobn,kaiming_out,0.90,0,4,57.709999084472656
cifar10,fc3_wobn,kaiming_out,0.96,1,1,54.97999954223633
cifar10,fc3_wobn,kaiming_in,0.86,0,4,58.13999938964844
cifar10,fc3_wobn,xavier,0.88,1,3,57.75
cifar10,fc3_wobn,kaiming_in,0.80,1,2,58.220001220703125
cifar10,fc3_wobn,kaiming_in,0.96,1,1,54.79999923706055
cifar10,fc3_wobn,xavier,0.94,1,5,56.25
cifar10,fc3_wobn,kaiming_in,0.86,1,5,58.22999954223633
cifar10,fc3_wobn,xavier,0.82,1,1,58.029998779296875
cifar10,fc3_wobn,xavier,0.94,1,3,56.459999084472656
cifar10,fc3_wobn,kaiming_out,0.98,0,3,50.869998931884766
cifar10,fc3_wobn,xavier,0.90,1,5,57.540000915527344
cifar10,fc3_wobn,kaiming_out,0.84,1,1,58.209999084472656
cifar10,fc3_wobn,kaiming_out,0.80,0,4,57.790000915527344
cifar10,fc3_wobn,kaiming_out,0.98,1,3,49.029998779296875
cifar10,fc3_wobn,kaiming_out,0.82,1,4,58.40999984741211
cifar10,fc3_wobn,kaiming_in,0.92,0,3,57.189998626708984
cifar10,fc3_wobn,xavier,0.96,1,5,54.599998474121094
cifar10,fc3_wobn,xavier,0.92,0,1,57.72999954223633
cifar10,fc3_wobn,kaiming_in,0.92,0,4,57.06999969482422
cifar10,fc3_wobn,xavier,0.80,0,2,57.9900016784668
cifar10,fc3_wobn,kaiming_out,0.86,0,4,57.720001220703125
cifar10,fc3_wobn,xavier,0.82,0,3,58.5
cifar10,fc3_wobn,xavier,0.90,1,1,57.939998626708984
cifar10,fc3_wobn,kaiming_out,0.98,0,1,50.470001220703125
cifar10,fc3_wobn,kaiming_out,0.86,0,5,57.720001220703125
cifar10,fc3_wobn,kaiming_in,0.84,1,4,57.70000076293945
cifar10,fc3_wobn,xavier,0.94,0,3,56.189998626708984
cifar10,fc3_wobn,kaiming_out,0.80,1,3,58.470001220703125
cifar10,fc3_wobn,kaiming_in,0.90,0,3,58.13999938964844
cifar10,fc3_wobn,kaiming_out,0.92,1,1,57.0099983215332
cifar10,fc3_wobn,xavier,0.90,0,1,57.81999969482422
cifar10,fc3_wobn,xavier,0.82,0,1,58.439998626708984
cifar10,fc3_wobn,kaiming_out,0.96,1,4,54.970001220703125
cifar10,fc3_wobn,kaiming_out,0.82,1,5,58.810001373291016
cifar10,fc3_wobn,kaiming_out,0.86,0,1,57.189998626708984
cifar10,fc3_wobn,xavier,0.96,0,4,55.529998779296875
cifar10,fc3_wobn,kaiming_in,0.84,0,3,58.47999954223633
cifar10,fc3_wobn,kaiming_out,0.80,1,4,58.27000045776367
cifar10,fc3_wobn,kaiming_in,0.94,1,1,56.5099983215332
cifar10,fc3_wobn,kaiming_out,0.86,0,3,57.81999969482422
cifar10,fc3_wobn,xavier,0.98,1,3,49.540000915527344
cifar10,fc3_wobn,kaiming_in,0.96,1,4,55.279998779296875
cifar10,fc3_wobn,kaiming_in,0.92,0,2,57.560001373291016
cifar10,fc3_wobn,xavier,0.92,1,5,57.459999084472656
cifar10,fc3_wobn,kaiming_in,0.98,1,2,50.11000061035156
cifar10,fc3_wobn,kaiming_out,0.90,1,2,57.79999923706055
cifar10,fc3_wobn,kaiming_in,0.82,1,2,57.91999816894531
cifar10,fc3_wobn,kaiming_out,0.84,0,5,58.119998931884766
cifar10,fc3_wobn,kaiming_out,0.94,0,1,56.56999969482422
cifar10,fc3_wobn,kaiming_in,0.98,0,5,49.83000183105469
cifar10,fc3_wobn,kaiming_in,0.86,1,2,57.79999923706055
cifar10,fc3_wobn,xavier,0.92,1,2,56.97999954223633
cifar10,fc3_wobn,xavier,0.82,1,5,58.41999816894531
cifar10,fc3_wobn,kaiming_in,0.86,0,5,57.91999816894531
cifar10,fc3_wobn,kaiming_in,0.80,0,3,58.060001373291016
cifar10,fc3_wobn,xavier,0.86,1,3,57.65999984741211
cifar10,fc3_wobn,xavier,0.98,0,1,50.439998626708984
cifar10,fc3_wobn,xavier,0.90,0,2,57.86000061035156
cifar10,fc3_wobn,kaiming_out,0.94,1,5,56.11000061035156
cifar10,fc3_wobn,xavier,0.88,1,4,57.439998626708984
cifar10,fc3_wobn,kaiming_in,0.94,0,4,56.439998626708984
cifar10,fc3_wobn,kaiming_in,0.94,1,5,56.369998931884766
cifar10,fc3_wobn,kaiming_out,0.92,0,2,57.060001373291016
cifar10,fc3_wobn,kaiming_in,0.92,1,4,56.849998474121094
cifar10,fc3_wobn,kaiming_in,0.90,1,4,58.04999923706055
cifar10,fc3_wobn,kaiming_in,0.84,0,2,58.369998931884766
cifar10,fc3_wobn,xavier,0.96,0,2,55.47999954223633
cifar10,fc3_wobn,xavier,0.80,0,4,58.04999923706055
cifar10,fc3_wobn,kaiming_in,0.92,0,5,57.150001525878906
cifar10,fc3_wobn,xavier,0.84,1,5,57.81999969482422
cifar10,fc3_wobn,kaiming_in,0.88,1,3,58.13999938964844
cifar10,fc3_wobn,kaiming_in,0.82,0,1,57.72999954223633
cifar10,fc3_wobn,kaiming_out,0.92,0,5,57.150001525878906
cifar10,fc3_wobn,kaiming_out,0.96,1,5,55.02000045776367
cifar10,fc3_wobn,xavier,0.80,1,2,57.939998626708984
