data type,model,init method,prune ratio,restore,mean,max,min,std
cifar10,conv3,kaiming_in,0.9,3,51.87200012207031,52.25,51.4900016784668,0.3153885864808421
cifar10,conv3,kaiming_in,0.92,0,48.9,49.43000030517578,47.650001525878906,0.7234630747295232
cifar10,conv3,kaiming_in,0.92,1,48.63399963378906,49.619998931884766,46.810001373291016,1.1472478244257416
cifar10,conv3,kaiming_in,0.92,2,49.10199966430664,49.849998474121094,48.650001525878906,0.5220813710324209
cifar10,conv3,kaiming_in,0.92,3,49.097999572753906,49.84000015258789,46.939998626708984,1.2429889779378818
cifar10,conv3,kaiming_in,0.94,0,46.08600006103516,46.970001220703125,45.58000183105469,0.5404906787350949
cifar10,conv3,kaiming_in,0.94,1,46.01199951171875,46.88999938964844,45.529998779296875,0.6499381212570743
cifar10,conv3,kaiming_in,0.94,2,45.55799942016601,46.220001220703125,44.7599983215332,0.5592595740900519
cifar10,conv3,kaiming_in,0.94,3,45.79399948120117,46.25,44.869998931884766,0.5944157242652146
cifar10,conv3,kaiming_in,0.96,0,41.28199996948242,41.880001068115234,40.849998474121094,0.46434978070690086
cifar10,conv3,kaiming_in,0.96,1,41.22199935913086,41.84000015258789,40.369998931884766,0.5800609258034505
cifar10,conv3,kaiming_in,0.96,2,40.70799942016602,41.439998626708984,39.689998626708984,0.6834256515427091
cifar10,conv3,kaiming_in,0.96,3,40.87000045776367,41.58000183105469,40.16999816894531,0.5982062535140427
cifar10,conv3,kaiming_in,0.98,0,29.322000122070314,32.880001068115234,21.350000381469727,4.649319324929822
cifar10,conv3,kaiming_in,0.98,1,30.73599967956543,32.56999969482422,29.239999771118164,1.40781029986054
cifar10,conv3,kaiming_in,0.98,2,31.843999481201173,34.06999969482422,29.049999237060547,2.1800868898802883
cifar10,conv3,kaiming_in,0.98,3,30.91199951171875,34.939998626708984,28.209999084472656,2.8650951140163565
cifar10,conv3,kaiming_out,0.8,0,50.3979995727539,53.15999984741211,48.72999954223633,1.7847468427128943
cifar10,conv3,kaiming_out,0.8,1,60.1120002746582,60.720001220703125,59.36000061035156,0.5089893136997437
cifar10,conv3,kaiming_out,0.8,2,50.225999450683595,53.04999923706055,47.15999984741211,2.921459806809258
cifar10,conv3,kaiming_out,0.8,3,60.395999908447266,61.15999984741211,59.2599983215332,0.7482854702722269
cifar10,conv3,kaiming_out,0.82,0,49.337999725341795,52.84000015258789,47.099998474121094,2.322524592406305
cifar10,conv3,kaiming_out,0.82,1,59.66999969482422,60.47999954223633,58.93000030517578,0.5546618763341752
cifar10,conv3,kaiming_out,0.82,2,48.95399932861328,51.20000076293945,45.91999816894531,2.239415859181072
cifar10,conv3,kaiming_out,0.82,3,59.62200012207031,60.040000915527344,59.25,0.2863045647627249
cifar10,conv3,kaiming_out,0.84,0,49.98800048828125,52.61000061035156,46.93000030517578,2.4408333527201167
cifar10,conv3,kaiming_out,0.84,1,57.896000671386716,58.4900016784668,57.400001525878906,0.46457492259572014
cifar10,conv3,kaiming_out,0.84,2,47.69599990844726,48.75,45.209999084472656,1.4422138577951629
cifar10,conv3,kaiming_out,0.84,3,57.35999984741211,58.34000015258789,56.779998779296875,0.7500669210464779
cifar10,conv3,kaiming_out,0.86,0,47.2,48.959999084472656,42.970001220703125,2.459938306887934
cifar10,conv3,kaiming_out,0.86,1,55.69800033569336,56.31999969482422,55.15999984741211,0.49560022018529737
cifar10,conv3,kaiming_out,0.86,2,45.9379997253418,47.880001068115234,43.0099983215332,1.8566835796109213
cifar10,conv3,kaiming_out,0.86,3,56.012000274658206,56.70000076293945,55.560001373291016,0.49766417021322557
